Link,Title,Name,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=e4efb05bff0fdb31,"Business Development specialist , Interventional Oncology",Success Korea,서울 강남구,,industry trends... impact on franchise short- term and long- term business plans to improve marketing and sales...
https://kr.indeed.com/viewjob?jk=b56c0b727af03d18,Luxury Brand Global eCommerce,Success Korea,서울 강남구,,business plans that result... establishment of a long term interactive... consumer ?Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=19cb085ab3848dc8,Account Manager,FARO Technologies,부산광역시,,leads and close sales to achieve revenue goals and create long- term purchase agreements with key accounts. Generate sales...
https://kr.indeed.com/viewjob?jk=e3563f6660e48e70,Director of Digital Product Portfolio Management and Marketi...,Intuitive,서울,,actively invest in our team members to support... long- term growth so they can continue to advance our mission and achieve...
https://kr.indeed.com/viewjob?jk=cbf6a8872566d3b8,"Sr. Manager, Government Relations & Communications",Thermo Fisher Scientific,서울,,Leadership Team on business development opportunities and long- term business strategies including new investment locations...
https://kr.indeed.com/viewjob?jk=3d94b074d67ede19,RA팀 및 개발기획팀 경력직 채용,유영제약,진천 광혜원면,,"수익성분석 - In-license / Out-liecnse 검토 및 Business proposal 작성 Term sheet 및 계약서 협의, 체결 등 [필수] - 경력 : 5년 이상 - 학력 : 대학교졸(학사) 이상..."
https://kr.indeed.com/viewjob?jk=6726b0333e90153f,[SPS] Sales Representative,Honeywell,서울,,penetration and cross selling. Developing sustainable long- term relationships. Lead and Manage big scale of project from...
https://kr.indeed.com/viewjob?jk=e2372b6026274042,실시간 온라인과외앱 스냅애스크 Customer Success Manager,유한회사 스냅애스크,서울 강남구,,development and performance- Establish and maintain long term rapport with students and parents- Handle business operations...
https://kr.indeed.com/viewjob?jk=20b4aa8e4bc322bb,[Air Liquide Solutions Korea] Warehouse Technician (Cheonan),에어리퀴드코리아,천안 동남구,,consistent performances and responsibility over the long term. Entity and activity description Air Liquide Solutions Korea...
https://kr.indeed.com/viewjob?jk=cdd330db093abf5a,Account Manager,NETSCOUT,대한민국,,Korea Ability to learn new solution products in a short term period Experiences of sales to large customers in Korea Direct...
https://kr.indeed.com/viewjob?jk=8c319c77b1e1cbca,Adhesive Product Development Intern Busan,Henkel,부산광역시,,"Office JOB ID: 21026362 Contract & Job type: Full Time, Limited Term Contact information for application-related questions..."
https://kr.indeed.com/viewjob?jk=dbbadcf452b1d11e,"Sr Account Manager, Digital Native Business - Amazon Web Ser...",Amazon Web Services Korea LLC,서울,,"business... environment, and managing a team to build long- term business and marketing opportunities... ideal..."
https://kr.indeed.com/viewjob?jk=29ec70525e309417,글로벌 E-Commerce 팀장 채용,Success Korea,서울 강남구,,business plans that result... establishment of a long term interactive... consumer - Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=db6a445c48409b46,KR_AH_CA Marketing Specialist (Temp.),Boehringer Ingelheim,대한민국,,"family-owned ever since, Boehringer Ingelheim takes a long- term perspective. Now, we are powered by 52,000 employees..."
https://kr.indeed.com/viewjob?jk=e304a4395da93b3d,Sales & Marketing Director 총괄,에이치알 코리아,서울,,"sales & marketing... achievement of short and long term business objectives, increased profit, and market share through..."
https://kr.indeed.com/viewjob?jk=09a4579303487462,Head of Commercial Marketing (Research Solutions),Merck KGaA Darmstadt Germany,서울,,implement digital culture to organization Driving long term growth strategy of business Build up the performingorganization...
https://kr.indeed.com/viewjob?jk=9420f2486873805d,SCM Cost Analyst,Edwards Korea Ltd,충청남도 천안,,management. Support the short term and long term business plans on overheads... short term and long term forecasting...
https://kr.indeed.com/viewjob?jk=63f54d3bc0f38cd0,National Key Account Manager - Pharma & Healthcare,Kuehne+Nagel,서울,,"effective, long- term solutions for our... best to take you on board... long term. Together, we will #winthefuture From..."
https://kr.indeed.com/viewjob?jk=764a0dcd283bdbd3,Master HVAC Technician - TS/SCI - South Korea,CACI,대한민국,,Required to Start: TS/SCI Employee Type: Regular-Long Term Assignment Percentage of Travel Required: Up to 25% Type...
https://kr.indeed.com/viewjob?jk=c0bcbe6881f18d43,Offshore Wind Power Turbine Specialist,Mott MacDonald,서울,,"either Japan, South Korea or Taiwan delivering long- term sustainable solutions. Join our team of specialists supporting..."
https://kr.indeed.com/viewjob?jk=62d06ad412041189,E-Commerce Assistant Key Account Manager,Electrolux,대한민국,,"them. ü Develop, build & maintain strong and long term relationship with digital customers ü Close communication to deliver..."
https://kr.indeed.com/viewjob?jk=1d248f9fb8119ebc,외국계 IT 기업 - AE (Account Executive),Success Korea,서울 강남구,,line knowledge. - Ability to develop long- term strategic and executive level... develop long- term strategic and executive...
https://kr.indeed.com/viewjob?jk=ed75832e441ec27d,Snr Technical Support Engineer,ASM,경기도 화성,,internal and external stakeholders. Understand and build long- term innovative global technology systems that enable enhanced...
https://kr.indeed.com/viewjob?jk=3fa8b25ba7f0784e,Offshore International Business Developer,HILTI,부산광역시,,skills. 2. Long- term strategic thinking... tools. We are proud to have a long- term bonding with our employees: More than 30...
https://kr.indeed.com/viewjob?jk=ceea9006a76afc25,Public Sector Business Development Executive,Success Korea,서울,,negotiations and liaison... legal group. - Develop long- term strategic partnerships in support of our key markets...
https://kr.indeed.com/viewjob?jk=8b3e29f47525032a,외국계헤어사업부PR,Success Korea,서울 강남구,,담당직무 글로벌코스메틱 헤어사업부 PR /커뮤니케이션- JD참조 Develop short- term/ long- term communication strategy and execute strategic PR campaigns...
https://kr.indeed.com/viewjob?jk=dd501a6ecef73d64,"Sales Representative (fixed-term), Channel Management",Thermo Fisher Scientific,서울,,"Title: Sales Representative, Channel Management Division: Chromatography & Mass Spectrometry Division (CMD) Location: Suseo..."
https://kr.indeed.com/viewjob?jk=61de6dbd5c9ede1a,KR_HP_Associate Medical Affairs Lead (Jardiance),Boehringer Ingelheim,대한민국,,"family-owned ever since, Boehringer Ingelheim takes a long- term perspective. Now, we are powered by 52,000 employees..."
https://kr.indeed.com/viewjob?jk=2040eba0c0f8262b,Account Manager,Ecolab,대한민국,,"structure and benefits A company vehicle and cell phone A long term, advancing career path in service, sales or management..."
https://kr.indeed.com/viewjob?jk=409534138c601bac,"Director, Campaign Planning, HBO Max",WarnerMedia,서울,,Europe and Global Brand and Marketing teams... Daily Long- Term Planning - you will identify the titles... grow our...
https://kr.indeed.com/viewjob?jk=c3bec88a0583d61f,E-Commerce Manager,Success Korea,서울 강남구,,소비재사 업무내용/자격요건 담당직무 E-Commerce Strategy - Develop mid to long- term corporate e-business and relationshipmarketing strategies...
https://kr.indeed.com/viewjob?jk=0eb8b5f23123ddf8,"Digital Content Specialist, Chromatography & Mass Spec.",Thermo Fisher Scientific,서울,,"requires someone who is proactive, thinks big and long- term, can exercise good judgment and communication and establish..."
https://kr.indeed.com/viewjob?jk=57980f7cc98ae3e2,Intern - Environment Affairs (171196),United Nations ESCAP,인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=4ce55e56ddf87071,Robotic Drive Architect/Solution Architect,Luxoft,경기도 성남,,algorithms for PB scale data processing Defining long term technology roadmap and governing functional and non-functional...
https://kr.indeed.com/viewjob?jk=ed0db31c4330cb27,Site Success Manager,Veeva Systems,경기도,,SiteVault Free provides... organization Support the long- term success of more complex sites... work to implement...
